no	front	reading	meaning_vi	han_viet	years
101	省略	しょうりゃく	tỉnh lược	Tỉnh Lược	07/2015
102	含める	ふくめる	bao hàm	Hàm	07/2015
103	油断	ゆだん	lơ là	Du Đoạn	07/2015
104	行事	ぎょうじ	sự kiện	Hành Sự	07/2015
105	乏しい	とぼしい	khan hiếm	Phạp	07/2015
106	距離	きょり	khoảng cách	Cự Ly	07/2015
107	驚かせる	おどろかせる	làm ngạc nhiên	Kinh	07/2015
108	講師	こうし	giảng viên	Giảng Sư	07/2015
109	腕	うで	cánh tay	Oản	07/2015
110	恵まれる	めぐまれる	được ban cho	Huệ	07/2015
111	拒否	きょひ	từ chối	Cự Phủ	12/2015
112	囲む	かこむ	bao quanh	Vi	12/2015
113	損害	そんがい	tổn hại	Tổn Hại	12/2015
114	現象	げんしょう	hiện tượng	Hiện Tượng	12/2015
115	憎い	にくい	ghét, đáng ghét	Tăng	12/2015
116	混乱	こんらん	hỗn loạn	Hỗn Loạn	12/2015
117	順調	じゅんちょう	thuận lợi	Thuận Điều	12/2015
118	争う	あらそう	tranh giành	Tranh	12/2015
119	指摘	してき	chỉ trích	Chỉ Trích	12/2015
120	鮮やか	あざやか	rực rỡ	Tiên	12/2015
121	治療	ちりょう	điều trị	Trị Liệu	07/2016
122	競う	きそう	thi đua	Cạnh	07/2016
123	批評	ひひょう	phê bình	Phê Bình	07/2016
124	納める	おさめる	nộp	Nạp	07/2016
125	劣る	おとる	thua kém	Liệt	07/2016
126	簡潔	かんけつ	giản gọn	Giản Khiết	07/2016
127	参照	さんしょう	tham khảo	Tham Chiếu	07/2016
128	焦げる	こげる	cháy	Tiêu	07/2016
129	症状	しょうじょう	triệu chứng	Chứng Trạng	07/2016
130	快く	こころよく	vui vẻ	Khoái	07/2016
131	貴重	きちょう	quý trọng	Quý Trọng	12/2016
132	怪しい	あやしい	đáng nghi	Quái	12/2016
133	容姿	ようし	dung nhan, hình dáng	Dung Tư	12/2016
134	伴う	ともなう	đi kèm	Bạn	12/2016
135	願望	がんぼう	nguyện vọng	Nguyện Vọng	12/2016
136	招く	まねく	mời	Chiêu	12/2016
137	保証	ほしょう	bảo đảm	Bảo Chứng	12/2016
138	催し	もよおし	sự kiện	Thôi	12/2016
139	硬貨	こうか	tiền xu	Ngạnh Hóa	12/2016
140	製造	せいぞう	sản xuất	Chế Tạo	12/2016
141	幼い	おさない	ấu trĩ	Ấu	07/2017
142	握る	にぎる	nắm	Ác	07/2017
143	密閉	みっぺい	kín	Mật Bế	07/2017
144	絞る	しぼる	vắt, siết	Giảo	07/2017
145	垂直	すいちょく	thẳng đứng	Thùy Trực	07/2017
146	凍る	こおる	đông lạnh	Đông	07/2017
147	討論	とうろん	thảo luận	Thảo Luận	07/2017
148	救う	すくう	cứu	Cứu	07/2017
149	好調	こうちょう	tốt, thuận lợi	Hảo Điều	07/2017
150	永久	えいきゅう	vĩnh cửu	Vĩnh Cửu	07/2017
