no	front	reading	meaning_vi	han_viet	years
51	抽象的	ちゅうしょうてき	trừu tượng	Trừu Tượng	12/2012
52	返却	へんきゃく	trả lại	Phản Khước	12/2012
53	針	はり	kim	Châm	12/2012
54	撮影	さつえい	chụp ảnh	Nhiếp Ảnh	12/2012
55	破片	はへん	mảnh vỡ	Phá Phiến	12/2012
56	訪れる	おとずれる	thăm viếng	Phỏng	12/2012
57	収穫	しゅうかく	thu hoạch	Thu Hoạch	12/2012
58	勢い	いきおい	thế, đà	Thế	12/2012
59	組織	そしき	tổ chức	Tổ Chức	12/2012
60	至る	いたる	đến	Chí	12/2012
61	世の中	よのなか	thế giới, xã hội	Thế	07/2013
62	勧誘	かんゆう	vận động, mời gọi	Khuyến Dụ	07/2013
63	改めて	あらためて	sửa lại, một lần nữa	Cải	07/2013
64	拡充	かくじゅう	mở rộng	Khuếch Sung	07/2013
65	模範	もはん	mô phạm	Mô Phạm	07/2013
66	削る	けずる	gọt, bào	Tước	07/2013
67	講義	こうぎ	bài giảng	Giảng Nghĩa	07/2013
68	傾く	かたむく	nghiêng, đổ	Khuynh	07/2013
69	果たす	はたす	hoàn thành	Quả	07/2013
70	招待	しょうたい	chiêu đãi	Chiêu Đãi	07/2013
71	清潔	せいけつ	sạch sẽ	Thanh Khiết	12/2013
72	隠す	かくす	giấu	Ẩn	12/2013
73	姿勢	しせい	tư thế	Tư Thế	12/2013
74	積む	つむ	chất, tích lũy	Tích	12/2013
75	逃亡	とうぼう	đào tẩu	Đào Vong	12/2013
76	真剣	しんけん	nghiêm túc	Chân Kiếm	12/2013
77	努める	つとめる	cố gắng	Nỗ	12/2013
78	寄付	きふ	quyên góp	Ký Phó	12/2013
79	即座に	そくざに	ngay lập tức	Tức Tọa	12/2013
80	責める	せめる	trách móc	Trách	12/2013
81	大幅	おおはば	rộng rãi, lớn	Đại Phúc	07/2014
82	悔しい	くやしい	tiếc, bực tức	Hối	07/2014
83	幼稚	ようち	ấu trĩ	Ấu Trĩ	07/2014
84	圧勝	あっしょう	áp đảo (thắng lớn)	Áp Thắng	07/2014
85	傷む	いたむ	hư, hỏng	Thương	07/2014
86	湿っぽい	しめっぽい	ẩm ướt	Thấp	07/2014
87	接続	せつぞく	kết nối	Tiếp Tục	07/2014
88	逆らう	さからう	chống đối	Nghịch	07/2014
89	批判	ひはん	phê phán	Phê Phán	07/2014
90	劣る	おとる	thua kém	Liệt	07/2014
91	極端	きょくたん	cực đoan	Cực Đoan	12/2014
92	戻す	もどす	trả lại, hoàn lại	Lệ	12/2014
93	継続	けいぞく	tiếp tục	Kế Tục	12/2014
94	除く	のぞく	loại trừ	Trừ	12/2014
95	貿易	ぼうえき	mậu dịch	Mậu Dịch	12/2014
96	詳しい	くわしい	chi tiết	Tường	12/2014
97	援助	えんじょ	viện trợ	Viện Trợ	12/2014
98	破れる	やぶれる	rách	Phá	12/2014
99	面倒	めんどう	rắc rối, phiền phức	Miện Đảo	12/2014
100	拾う	ひろう	nhặt	Thập	12/2014
