no	front	reading	meaning_vi	han_viet	years
1	映る	うつる	bị phản chiếu, được chiếu		
2	映す	うつす	chiếu, phản chiếu		
3	つかる	つかる	bị ngập, bị chìm		
4	つける	つける	chìm xuống		
5	浮かぶ	うかぶ	nổi, nghĩ về, bề mặt		
6	浮かべる	うかべる	cho nổi		
7	浮く	うく	nổi, tăng lên		
8	潜る	もぐる	nhấn chìm, ẩn giấu		
9	跳ねる	はねる	nhảy, chạy qua		
10	背負う	せおう	mang vác, chịu		
11	追う	おう	đuổi, theo đuổi		
12	追いかける	おいかける	chạy theo, đuổi theo		
13	追いつく	おいつく	đuổi kịp		
14	追い越す	おいこす	vượt qua		
15	振り向く	ふりむく	nhìn quanh, chú ý		
16	捕る・採る・執る	とる	lấy, tuyển dụng		
17	取り上げる	とりあげる	nhặt lên, lấy, chọn		
18	取り入れる	とりいれる	nhận nuôi, thu hoạch		
19	削る	けずる	cắt xuống, giảm, làm sắc		
20	縛る	しばる	buộc, thắt		
21	絞る・搾る	しぼる	vắt, bóp		
22	回る	まわる	xoay quanh, quay lại		
23	回す	まわす	xoay, qua, gửi, chuyển nhượng, đầu tư		
24	区切る	くぎる	chia, nhấn mạnh		
25	組む	くむ	hiệp lực, tham gia, đoàn kết		
26	組み立てる	くみたてる	lắp ráp		
27	加わる	くわわる	thêm vào, tăng lên		
28	加える	くわえる	tham gia, tăng thêm		
29	仕上がる	しあがる	được hoàn thành		
30	仕上げる	しあげる	hoàn thành, kết thúc		
31	通りかかる	とおりかかる	đi ngang qua		
32	飛び回る	とびまわる	bay về, vội vàng về		
33	巡る	めぐる	quanh quanh, lặp lại, liên quan đến		
34	憎い	にくい	căm thù, ghét (Hán Việt: tăng)		
35	険しい	けわしい	dốc, nghiêm khắc (Hán Việt: hiểm)		
36	辛い	つらい	đau đớn (Hán Việt: tân)		
37	きつい	きつい	khó khăn, mệt		
38	緩い	ゆるい	lỏng, chậm (Hán Việt: hoãn)		
39	鈍い	にぶい	cùn, đần độn, kém (Hán Việt: độn)		
40	鋭い	するどい	sắc, sắc sảo (Hán Việt: duệ)		
41	荒い・粗い	あらい	bạo lực, khốc liệt (Hán Việt: hoang)		
42	強引な	ごういんな	cưỡng bức, bắt buộc (Hán Việt: cường dẫn)		
43	勝手な	かってな	độc đoán (Hán Việt: thắng thủ)		
44	強気な	つよきな	kiên định, vững vàng (Hán Việt: cường khí)		
45	頑固な	がんこな	bảo thủ, cố chấp (Hán Việt: ngoan cố)		
46	過剰な	かじょうな	vượt quá, dư thừa (Hán Việt: quá thặng)		
47	重大な	じゅうだいな	nghiêm trọng, nguy kịch (Hán Việt: trọng đại)		
48	深刻な	しんこくな	nghiêm trọng (Hán Việt: thâm khắc)		
49	気楽な	きらくな	thoải mái, nhàn hạ (Hán Việt: khí lạc)		
50	安易な	あんいな	dễ dàng (Hán Việt: an dị)		
